"","yr","mo","bay_segment","mean_sdm","sum_sdm"
"548",1989,7,"HB",1.33,NA
"549",1989,7,"LTB",2.9375,NA
"550",1989,7,"OTB",1.49230769230769,NA
"551",1989,8,"HB",0.96,NA
"552",1989,8,"LTB",2.1625,NA
"553",1989,8,"OTB",1.22857142857143,NA
"554",1989,9,"HB",1.2,NA
"555",1989,9,"LTB",1.7625,NA
"556",1989,9,"OTB",1.29230769230769,NA
"557",1989,10,"HB",1.01,NA
"558",1989,10,"LTB",1.7625,NA
"559",1989,10,"OTB",1.3,NA
"560",1989,11,"HB",1.3,NA
"561",1989,11,"LTB",2.1,NA
"562",1989,11,"OTB",1.33846153846154,NA
"563",1989,12,"HB",1.78571428571429,NA
"564",1989,12,"LTB",1.75,NA
"565",1989,12,"OTB",2.76666666666667,NA
"566",1990,1,"HB",1.3,NA
"567",1990,1,"LTB",3.63333333333333,NA
"568",1990,1,"OTB",3.22,NA
"569",1990,2,"HB",1.2,NA
"570",1990,2,"LTB",2.3875,NA
"571",1990,2,"OTB",1.98,NA
"572",1990,3,"HB",1.24444444444444,NA
"573",1990,3,"LTB",2.0375,NA
"574",1990,3,"OTB",1.27692307692308,NA
"575",1990,4,"HB",1.2,NA
"576",1990,4,"LTB",2.9375,NA
"577",1990,4,"OTB",1.3,NA
"578",1990,5,"HB",1.11,NA
"579",1990,5,"LTB",3.4125,NA
"580",1990,5,"OTB",1.55,NA
"581",1990,6,"HB",1.07,NA
"582",1990,6,"LTB",3.1,NA
"583",1990,6,"OTB",2.11538461538462,NA
"584",1990,7,"HB",1.15,NA
"585",1990,7,"LTB",2.8625,NA
"586",1990,7,"OTB",1.56428571428571,NA
"587",1990,8,"HB",0.94,NA
"588",1990,8,"LTB",3.15,NA
"589",1990,8,"OTB",1.56923076923077,NA
"590",1990,9,"HB",0.92,NA
"591",1990,9,"LTB",1.85,NA
"592",1990,9,"OTB",1.38571428571429,NA
"593",1990,10,"HB",1.48888888888889,NA
"594",1990,10,"LTB",2.5875,NA
"595",1990,10,"OTB",1.675,NA
"596",1990,11,"HB",1.61111111111111,NA
"597",1990,11,"LTB",2.52,NA
"598",1990,12,"HB",2.04285714285714,NA
"599",1990,12,"LTB",3.96,NA
"600",1990,12,"OTB",1.98461538461538,NA
"601",1991,1,"HB",1.36666666666667,NA
"602",1991,1,"LTB",3.0875,NA
"603",1991,1,"OTB",2.37142857142857,NA
"604",1991,2,"HB",1.27777777777778,NA
"605",1991,2,"LTB",2.95714285714286,NA
"606",1991,2,"OTB",1.92,NA
"607",1991,3,"HB",1.05,NA
"608",1991,3,"LTB",3.075,NA
"609",1991,3,"OTB",2,NA
"610",1991,4,"HB",1.4,NA
"611",1991,4,"LTB",2.1,NA
"612",1991,4,"OTB",1.66428571428571,NA
"613",1991,5,"HB",0.99,NA
"614",1991,5,"LTB",2.8375,NA
"615",1991,5,"OTB",2.09090909090909,NA
"616",1991,6,"HB",1.05,NA
"617",1991,6,"LTB",3.61428571428571,NA
"618",1991,6,"OTB",1.22142857142857,NA
"619",1991,7,"HB",0.755555555555556,NA
"620",1991,7,"LTB",2.3125,NA
"621",1991,7,"OTB",1.48571428571429,NA
"622",1991,8,"HB",0.85,NA
"623",1991,8,"LTB",2.3,NA
"624",1991,8,"OTB",1.50714285714286,NA
"625",1991,9,"HB",1.27777777777778,NA
"626",1991,9,"LTB",2.475,NA
"627",1991,9,"OTB",1.80714285714286,NA
"628",1991,10,"HB",1.08571428571429,NA
"629",1991,10,"LTB",2.58571428571429,NA
"630",1991,10,"OTB",1.67586206896552,NA
"631",1991,11,"HB",1.34444444444444,NA
"632",1991,11,"LTB",3.02857142857143,NA
"633",1991,12,"HB",1.81666666666667,NA
"634",1991,12,"LTB",2.2875,NA
"635",1991,12,"OTB",2.6625,NA
"636",1992,1,"HB",1.68888888888889,NA
"637",1992,1,"LTB",3.1,NA
"638",1992,1,"OTB",3.08333333333333,NA
